cowcode,iso3166,country_ID,country_name,abbr_country,region_ID,region_name,year,tier,type,tier_instdepth,tier_policy,tier_fiscauto,tier_borrowauto,tier_rep,tier_lawmaking,tier_execcon,tier_fisccon,tier_borrowcon,tier_constit,tier_selfrule,tier_sharedrule,tier_RAI,COMPONENTS,instdepth,policy,fiscauto,borrowauto,assembly,executive,law_a,law_b,law_c,law_d,law_e,law_f,execcon_multi,execcon_bi,fisccon_multi,fisccon_bi,borrowcon_multi,borrowcon_bi,constit_multi,constit_bi
900,36,2,Australia,AUS,201,States,1993,1,S,3,4,2,3,4,1.5,2,1,0,3,16,7.5,23.5,,3,4,2,3,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,0,0,3,0
900,36,2,Australia,AUS,201,States,1994,1,S,3,4,2,3,4,1.5,2,1,0,3,16,7.5,23.5,,3,4,2,3,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,0,0,3,0
900,36,2,Australia,AUS,201,States,1995,1,S,3,4,2,2,4,1.5,2,1,2,3,15,9.5,24.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1996,1,S,3,4,2,2,4,1.5,2,1,2,3,15,9.5,24.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1997,1,S,3,4,2,2,4,1.5,2,1,2,3,15,9.5,24.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1998,1,S,3,4,2,2,4,1.5,2,1,2,3,15,9.5,24.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1999,1,S,3,4,2,2,4,1.5,2,2,2,3,15,10.5,25.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,2,0,2,0,3,0
900,36,2,Australia,AUS,201,States,2000,1,S,3,4,2,2,4,1.5,2,2,2,3,15,10.5,25.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,2,0,2,0,3,0
900,36,2,Australia,AUS,201,States,2001,1,S,3,4,2,2,4,1.5,2,2,2,3,15,10.5,25.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,2,0,2,0,3,0
900,36,2,Australia,AUS,201,States,2002,1,S,3,4,2,2,4,1.5,2,2,2,3,15,10.5,25.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,2,0,2,0,3,0
